resumption of the session	reanudación del período de sesiones
we must therefore try to reconcile the two requirements - parliament is sometimes a little extremist , adopting positions that	por lo tanto , me parece que hay que tratar de conciliar las dos necesidades - veo que a veces
these worthwhile amendments are the outcome of this ; i think that we will be able to arrive at a	estas interesantes enmiendas son el resultado de ello . sobre la base de esta posición , me parece que se
mr president , this directive deals with the comparatively small but growing problem of abandoned cars and the question of	señor presidente , esta directiva trata el relativamente pequeño , aunque creciente problema de los vehículos abandonados y la cuestión
to that extent , it might be thought desirable , even if it is not a matter of urgent necessity	hasta este punto , esto puede considerarse deseable aunque no se trate de una cuestión de urgente necesidad .
the key questions now are who pays the eur 262 per car for the 9 million cars that are disposed	ahora las cuestiones clave son ¿quién va a pagar los 242 euros por cada uno de los 9 millones de
who pays for the collection , the dismantling , the disposal and so on ?	¿quién va a sufragar la recogida , el desmantelamiento , la eliminación , etc ?
and should the directive be retrospective to cover every car that has ever been made ?	y , ¿debe tener la directiva efectos retroactivos con el fin de cubrir cada coche que se haya construido ?
the proposal from the council , the common position , is that manufacturers should pay the lot .	la propuesta del consejo , la posición común , es que los fabricantes deben pagar todo .
that would mean billions of pounds or euros for each of the major companies in each of the countries of	esto supondría miles de millones de libras o euros para cada una de las principales compañías en cada uno de
that cost would inevitably be passed on to the price and hence to the buyers of new cars .	este coste sería inevitablemente trasladado al precio y , consecuentemente , a los compradores de coches nuevos .
because european car manufactures have been operating here for many , many more decades than companies from japan , korea	dado que los fabricantes europeos han estado operando aquí desde hace muchas más décadas que las compañías japonesas , coreanas
i commend mr florenz , mr lange and others who have sought from both sides of the party divide a	alabo al sr. florenz , al sr. lange y a otros que han perseguido que ambas partes lleguen a un
i also commend to you the amendment standing in my name and colleagues from germany , italy , ireland ,	también alabo la enmienda presentada en mi nombre y en el de mis colegas de alemania , italia , irlanda
retrospective law is bad law , it is unfair law and often it is unworkable law .	la legislación retroactiva es una legislación perversa , una legislación injusta y a menudo una legislación impracticable .
most democratic parliaments in the free world reject it on principle unless there is overwhelming public interest , which clearly	la mayoría de los parlamentos democráticos del mundo libre la rechazan de principio a no ser que exista un interés
that is why i have called for a roll-call vote on this .	esta es la razón por la que he solicitado una votación nominal para este asunto .
we can see who is prepared to vote for a retrospection which is of doubtful legality , which would be	podremos comprobar quién esta dispuesto a votar a favor de una retroactividad de dudosa legalidad , que supondría una costosa
mr president , once again i would like to briefly outline the economic issues involved in this directive , and	señor presidente , señorías , una vez más quiero recordar brevemente las apuestas económicas de esta directiva y renovar mi
these amendments actually have the advantage - and i should like to stress this - of reconciling environmental constraints and	justamente estas enmiendas implican la ventaja -quiero insistir sobre este punto- de conciliar las obligaciones con el medio ambiente y
the council ' s common position was to say that car manufacturers should bear all , or a significant part	la posición común del consejo ha sido decir que los fabricantes de automóviles debían hacerse cargo de la totalidad o
but , as mr lange so rightly said , this solution is totally unfair to european car manufacturers .	pero como muy bien ha dicho el sr. lange , esta solución no es para nada equitativa con los fabricantes
coming from a country which does have a car manufacturing industry , i can tell you that it is not	porque soy de un país donde hay muchos fabricantes de automóviles , puedo decir a sus señorías que no es
this solution is unacceptable because these car manufacturers have not had the opportunity to build the environmental demands we are	esta solución es inaceptable , porque esos fabricantes no pudieron integrar en sus procedimientos de fabricación y en sus costes
the common position puts european car manufacturers in a disadvantageous position in relation to manufacturers which have just come to	la posición común pone a los fabricantes europeos en una situación desfavorable respecto de los fabricantes recién llegados al mercado
of course , we are not here to defend a particular national interest or a particular industrial lobby . we	sin duda , si no estamos aquí para defender un determinado interés nacional , un determinado grupo de presión industrial
this is why , i urge you to support the amendments tabled by bernd lange . these amendments will be	por esta razón pido a sus señorías que apoyen las enmiendas presentadas por bernd lange , que tendrán el apoyo
mr president , commissioner , the proposed directive on end-of-life vehicles before us today aims firstly to guarantee a high	señor presidente , señora comisaria , la propuesta de directiva sobre los vehículos al final de su vida útil que
let me briefly say that historic and vintage vehicles must , of course , be exempt from the scope of	una palabra sobre los vehículos históricos y de época : deben estar excluidos del campo de aplicación de esta directiva
i think we would all agree on that .	los automóviles también integran nuestro patrimonio cultural .
having said that , one of the stumbling blocks concerns article 12 , i.e . the date on which the	dicho esto , uno de los obstáculos se refiere al artículo 12 , es decir , a la fecha de
parliament ' s proposed solution of 18 months following the directive ' s entry into force , for new vehicles	la solución propuesta por el parlamento , a saber , 18 meses después de la fecha de entrada en vigor
the european car population amounts to several tens of millions of cars which will have to be recovered even though	el parque automovilístico europeo se compone de varias decenas de millones de coches que tendrán que ser recuperados aunque no
the common position was more feasible since it envisaged 2006 for vehicles already on the road .	la posición común era mucho más razonable , porque preveía la fecha del 2006 para los vehículos que ya están
this would , furthermore , make it possible to allow firms time to make funds available to meet these additional	además , esto permitiría que se las empresas tuviesen el tiempo necesario para disponer de los fondos que implicarían esos
like my group , i shall therefore support this aspect the common position which , i feel , offers a	por lo tanto , al respecto , mi grupo y yo personalmente , apoyaremos la posición común que presenta un
mr president , the european parliament is today facing an important decision .	señor presidente , queridos colegas , el parlamento europeo afronta hoy una importante decisión .
will we give our backing to forward-looking environmental and consumer protection or , as the amendments of florenz , lange	¿estamos a favor de una protección del medio ambiente y del consumidor con vocación de futuro , o , como
the credibility of parliament as a champion of environmental protection is at stake .	está en juego la credibilidad del parlamento como uno de los abanderados de la protección medioambiental .
it would be shameful to say the least if the european parliament were to draw back from the professions the	¡sería más que vergonzoso que el pe cediera ante lo que los gobiernos de los 14 estados miembros y la
the intention of florenz and lange in their amendments is obvious : to sabotage the directive !	lo que pretenden florenz y lange con sus enmiendas está muy claro : ¡hay que cargarse la directiva !
the proposed shared responsibility would undermine the polluter pays principle and detract from product innovation .	con la propuesta de reparto de responsabilidad se vacía de contenido el principio de quien contamina , paga , y
in setting up numerous hurdles their sole aim is to hamper an efficient ecological material flow policy and by going	poniendo tantos obstáculos no pretenden más que impedir una política en materia de flujos de residuos efectiva y ecológica ,
this is totally unacceptable . i therefore appeal to the german delegates in particular to prevent major political damage occurring	por ello , hago un particular llamamiento a los diputados alemanes : ¡no permitan que se cause hoy un grave
the red-green federal government has not exactly covered itself with glory in the debate on the end-of-life vehicles directive .	el gobierno federal de socialistas y verdes no se ha lucido en el debate sobre la directiva sobre vehículos para
do not continue in this vein !	¡cambien ya de actitud !
the whinging about competitive disadvantages is laughable if it only concerns competitive disadvantages sustained by the german car industry .	sus quejas por los perjuicios a la competencia son ridículos si sólo se refieren a los perjuicios a la competitividad
start representing your people and not just your car manufacturers !	¡compórtense como representantes del pueblo y no se rebajen a convertirse en representantes de volkswagen !
vote in favour of environmental and consumer protection and for innovation in the car and recycling industry !	¡voten a favor de la protección al medio ambiente y al consumidor y de las innovaciones en la industria del
mr president , this directive has been under discussion since 1997 .	señor presidente , desde el año 1997 se está discutiendo esta directiva .
it is high time that we reached an agreement .	ya era hora de que llegáramos a un acuerdo .
since i more or less share the views of my colleague , mr sjöstedt and the representative of the greens	como comparto más o menos lo dicho por mi compañero sjöstedt y por el representante de los verdes de roo
firstly , and this is perhaps the basic point of the proposal , the idea , which goes hand in	en primer lugar , y es quizás lo fundamental de la propuesta , la idea , consustancial al reciclaje y
another point is that waste should not be incinerated or crushed , not only in the case of lead ,	otro punto importante es que los residuos no debieran incinerarse ni triturarse , pero no sólo los que contienen plomo
parliament is currently discussing this issue in another context .	hay una discusión en este parlamento sobre ese tema en otro ámbito .
the other question is who should bear the cost .	la otra cuestión se refiere a quién debe pagar los gastos .
i agree with previous speakers who have said that the polluter should pay , and this proposal expresses that idea	yo estoy de acuerdo con los oradores anteriores cuando dicen que quien contamina paga y nunca mejor dicho que en
producers must pay - although we all know that the consumer will ultimately suffer the consequences of this - and	deben pagar los productores , aunque todos sabemos que al final quizá el gasto vaya a repercutir en los consumidores
we are more in agreement with the amendment proposed at first reading .	estamos más de acuerdo con la enmienda de la primera lectura .
it is also important to set percentages and a date for vehicles to be composed of recyclable materials .	es importante también fijar el tanto por ciento y la fecha en que los vehículos habrán de tener materiales reciclables
i believe that this proposal relies on very long deadlines .	creo que la propuesta se fía a plazos muy largos .
lastly , mr president , i believe we should favour the creation of small and medium-sized businesses which , if	por último , señor presidente , creo que es preciso favorecer la creación de pequeñas y medianas empresas que ,
mr president , today the european parliament must face up to real responsibilities .	señor presidente , señorías , el parlamento europeo tiene que enfrentar hoy responsabilidades reales .
we have to work out what we are going to do with the millions of vehicles we abandon each year	se trata de saber qué vamos a hacer con los millones de vehículos que abandonamos cada año .
in some of our member states , voluntary environmental agreements have already been signed to ensure that our ditches ,	en algunos de nuestros estados ya se firmaron acuerdos medioambientales voluntarios para que en los arcenes , los canales y
i come , of course , from a country that is proud of its car industry and of its commercial	es bien cierto que mi país está orgulloso de su industria automovilística y de sus éxitos comerciales , tanto en
i can gauge its importance for my country ' s international reputation .	mido su importancia por la aureola internacional de mi país .
i know of the proactive attitude of the european car manufacturing industry which has set up an extensive research programme	conozco la actitud previsora de la industria automovilística europea , que ha puesto en marcha un amplio programa de investigación
i am aware of the difficulties the council experienced in finding a compromise .	soy consciente de la dificultad que el consejo halla para establecer un compromiso .
that is why , today , we must be understanding alchemists , concerned for our environment .	por esta causa debemos ser hoy alquimistas comprensivos , cuidadosos de nuestro medio ambiente .
this will either be the century of waste management or it will not .	este siglo será el de la gestión de los residuos o no será .
as far as i am concerned , at least , the principle of 'polluter pays ' must be applied .	en mi opinión , por supuesto , hay que aplicar el principio de quien contamina paga .
the car industry , increasingly more respectful of the environment , has , i am sure , anticipated this kind	tengo la certeza de que la industria automovilística , cada vez más respetuosa del medio ambiente , había anticipado esta
it is the member states , however , who will have to implement this directive , and let us beware	pero toca a los estados la aplicación de esta directiva , y cuidémonos de detallarla excesivamente , porque las tradiciones
i am opposed to making the car owners liable .	me opongo a que se haga responsables a los propietarios de los vehículos .
the men and women on the move throughout europe pay for their car and their catalytic converter , pay their	esos hombre y mujeres que se desplazan por europa pagan sus coches , sus impuestos nacionales , sus catalizadores ,
it would certainly be unwise for my fellow members in the major groups of the federalist tendency to seek to	sería muy imprudente que mis colegas de los grandes grupos de vocación federalista hicieran al parlamento europeo terriblemente impopular imaginando
how , furthermore , can a fund be created which will pay for vehicle recycling and manage operations within europe	además , ¿cómo se podría crear un fondo para pagar el reciclaje de vehículos y gestionar las operaciones dentro de
who is to pay for recycling the car i bought in france if i register it in belgium ?	¿quién pagará el reciclaje de mi coche comprado en francia , si lo matriculo en bélgica ?
which national fund will pay for my end-of-life vehicle ?	¿qué fondo nacional se hará cargo de mi vehículo al final de su vida útil ?
let us beware , too , of worrying the world of business with the legal uncertainty of an unacceptable retroactive	cuidémonos también de inquietar al mundo empresarial con una inseguridad jurídica derivada de una retroactividad inaceptable .
it is not our intention to start a punitive legislative campaign here today , but to continue on our present	no es nuestro propósito , aquí , poner en marcha una expedición legislativa de castigo , sino que debemos continuar
mr president , most of the time , the european parliament , spearheaded by environment committees , does its very	señor presidente , el parlamento europeo , encabezado por la comisión de medio ambiente , por lo general , adopta
now , a sound common position submitted by the council is in danger of being changed for the worse from	ahora existe el riesgo de que , desde una perspectiva medioambiental , en este parlamento se logre empeorar una concienzuda
every year , we discard a huge amount of cars which contain many dangerous substances .	cada año nos deshacemos de muchos automóviles que contienen materiales peligrosos .
this is why it is important to prevent waste materials .	por eso es importante prevenir la formación de residuos .
we should also aim for minimum quantities of heavy metals , as well as of other dangerous substances and materials	tenemos que procurar también reducir al mínimo las cantidades de metales pesados y de otros materiales peligrosos .
in addition , car manufacturers need to produce and build these cars in such a way as to facilitate simple	además , los fabricantes de vehículos deben tener en cuenta la importancia de que éstos se produzcan y construyan de
what is left of the stripped vehicle also requires to be processed adequately .	el resto de la chatarra requiere también un proceso de tratamiento adecuado .
i therefore welcome with open arms the percentage levels for re-use and recycling which have been proposed by the council	por tanto , apoyo plenamente los porcentajes de reutilización y reciclado propuestos por el consejo .
these days , the complete dismantling of end-of-life vehicles is economically viable .	actualmente , el desguace completo de la chatarra es económicamente viable .
this means that we move away from shredding .	esto se debe a que hemos abandonado el cizallamiento .
the prescribed objectives are most certainly viable and , in the netherlands , a value of 86 % recycling has	los objetivos establecidos son con toda seguridad factibles y en los países bajos en estos momentos ya se ha alcanzado
the best way of achieving proper collection is to ensure that the last holder and/or owner can deliver the car	la mejor manera de garantizar un buen sistema de recogida es que el último usuario del automóvil pueda entregarlo sin
the processing cost can then be incorporated in the price of new cars .	los costes del reciclado pueden imputarse a los precios de los nuevos automóviles .
the proposals made by a few meps impact greatly on this system .	las propuestas que han planteado algunos diputados perjudican seriamente a este sistema .
the so-called shared liability is very cumbersome and does not stimulate innovation .	la denominada responsabilidad compartida es muy poco útil y no estimula la innovación .
if the system of delivering cars to treatment facilities without any cost is applied , it will also transpire that	si se maneja un sistema de entrega sin costes , se comprobará que los costes del reciclado también disminuirán considerablemente
finally , this directive should enter into force at the earliest opportunity .	por último , esta directiva debe entrar en vigor lo antes posible .
a laborious conciliation procedure would entail an unnecessary delay , at the expense of the environment .	un costoso procedimiento de conciliación implica un retraso innecesario del que el medio ambiente sufrirá las consecuencias .
why can not we just be satisfied with the common position currently tabled ?	contentémonos , pues , con la posición común que ahora tenemos .
if we are , then all that remains for us to do is to congratulate the council on the result	así , no nos queda sino felicitar y elogiar al consejo por el resultado previsto .
mr president , i hold mr florenz in high esteem .	señor presidente , tengo en alta consideración al sr. diputado florenz .
he has delivered excellent work under pressure both from his colleagues and from the car industry .	ha hecho un buen trabajo bajo la presión de sus colegas , y también bajo la presión de la industria
add to this the fact that he had to do this from his green approach and , against that background	a esto se añade que el sr. florenz ha tenido que hacerlo desde su condición de diputado ecologista , ha
overall , i am not dissatisfied with the present common position and certainly not with the philosophy underlying that common	en términos globales , no me parece del todo mal la posición común que se nos ha presentado hoy y
these should indeed be excluded from the directive . secondly , the controversial question as to who bears the responsibility	tengo un par de observaciones que formular al respecto : una es que los vehículos de época y las motocicletas
i do not wish to alter the text of the common position in any way .	no quiero introducir cambios en el texto de la posición común .
the manufacturer is and should be liable and the last holder and/or owner must be able to hand back the	el fabricante es responsable , debe ser responsable y el último usuario debe poder entregar el automóvil sin costes .
in my opinion , there is too much initial hesitation .	a mi juicio hay muchos temores injustificados .
the car lobby has led too many people up the garden path .	el grupo de presión de la industria automovilística ha creado confusión en muchas ocasiones .
i would also like to mention that experience has nonetheless taught us that the processing cost is in fact passed	quiero reiterar una vez más a sus señorías que , según dicta la experiencia , los costes del tratamiento deben
these costs are not very high .	no son unos costes tan elevados .
in the member state where i come from , you are talking about 150 guilders per car .	en mi país se calculan en unos 150 florines por automóvil .
if you charge this from day one , you can process the old cars straight away .	con ello se empieza desde el primer día y al mismo tiempo se puede efectuar el tratamiento de los coches
a very large industry might then emerge which would ensure that scrapyards , which used to be a common feature	asimismo , puede crearse ya mismo una gran industria que se ocupe de que los cementerios de coches , que
i do not wish to make any changes to this particular aspect of the compromise .	por ello , no quiero introducir cambios a ese respecto en el compromiso alcanzado .
i think it would be a good thing if we were to approve the present legislation together as soon as	pienso que es positivo que aprobemos lo antes posible la legislación que se nos ha presentado .
this is positive because , in that way , the nine million cars which are introduced each year onto european	esto es bueno porque así los nueve millones de coches que se fabrican cada año en europa también podrán reciclarse
mr president , the present directive is important in so far as it helps prevent our being faced with hazardous	señor presidente , la propuesta actual es importante en la apuesta por prevenir la producción de residuos peligrosos procedentes de
i therefore think it is crucial for the environment that the ban on using poisonous heavy metals should be fully	de ahí que me parezca fundamental desde el punto de vista medioambiental que la prohibición del empleo de metales pesados
if we do reduce it , we remove from manufacturers the incentive to design and produce cars which give rise	de hacer esto último , eliminamos los alicientes para que los fabricantes construyan y fabriquen automóviles que produzcan menos residuos
the common position , which was arrived at with great difficulty in the council , which the commission has endorsed	la posición común alcanzada con gran trabajo en el consejo , a la que se sumó la comisión y que
if these amendments are adopted , i think that we shall cause parliament seriously to lose credibility on environmental issues	si se aprueban estas enmiendas , creo de veras que habremos echado por la borda la credibilidad del parlamento en
so far , we here in parliament have been positive catalysts for environmental protection but now , if the amendments	hasta ahora , este parlamento ha actuado positivamente como catalizador en la defensa del medio ambiente , y si se
what is more , if we reduce manufacturers ' liability on this issue , this will also have serious consequences	a esto hay que añadir que si suavizamos la responsabilidad de los fabricantes en este caso , esto repercutirá gravemente
i would therefore recommend to members of parliament that we cut across party lines and vote against all the amendments	por ello , me gustaría recomendar a los miembros de este parlamento que a pesar de su afiliación política voten
we shall then be able to achieve an environmentally respectable result .	así , podremos alcanzar un resultado decoroso en términos medioambientales .
mr president , this excellent directive will end the dumping of old cars , encourage recycling , and above all	señor presidente , esta excelente directiva va a acabar con el abandono de coches viejos , va a estimular el
now who should pay the costs ?	ahora , ¿quién debe sufragar los costes ?
whatever system is adopted , ultimately the cost will be passed on to the consumer .	cualquiera que sea el sistema que se adopte , en última instancia el coste será repercutido a los consumidores .
the best way of achieving our environmental objectives is to make the manufacturers our instrument both for collecting the money	el mejor camino para alcanzar nuestros objetivos medioambientales es convertir a los fabricantes en nuestro instrumento tanto para recaudar el
the manufacturers have tricked mr florenz and mr lange into tabling amendments here which seriously weaken these proposals .	los fabricantes han engañado al sr. florenz y al sr. lange para que presenten aquí unas enmiendas que debilitan considerablemente
do not be fooled by the car manufacturers !	¡no se dejen embaucar por los fabricantes de automóviles !
if you want the full benefits of this directive use your vote to throw out these amendments .	si quieren alcanzar todos los beneficios de esta directiva usen su voto para rechazar estas enmiendas .
mr president , commissioner , this debate is not a technical debate , contrary to what we may think .	señor presidente , señora comisaria , señorías , en contra de lo que podríamos pensar , este debate no es
yesterday we honoured our institution with a political debate .	ayer honramos a nuestra institución con un debate político .
today , if 314 members of parliament yield to the strength of the lobbying of some car manufacturers , we	hoy , si 314 diputados cediesen ante el poder los grupos de presión de ciertos fabricantes de automóviles , nos
in expecting consumers to bear half the cost of the recovery of end-of-life vehicles , as amendment no 38 stipulates	al pedir a los consumidores que aseguren la mitad del coste del reciclaje de los vehículos al final de su
we can not accept this .	no podemos aceptarlo .
it would be a precedent which would open the door to all sorts of pressure in many other areas .	sentaría un precedente que dejaría la puerta abierta a todas las presiones en muchos otros campos .
it would also be the first time that the european parliament would be weakening a council position , whereas usually	asimismo , sería la primera vez que el parlamento europeo debilitase una posición del consejo , cuando en general creo
the free recovery system , for example , for old vehicles and raising the percentage to be recycled will increase	el sistema de recogida gratuita de vehículos viejos , por ejemplo , y el incremento del porcentaje a reciclar hará
thus , for the consumer , for the environment and for the new jobs to be created in recycling ,	por lo tanto , por el bien del consumidor , por el medio ambiente , por los nuevos empleos que
mr president , like so many others here today , i believe this is a good measure .	señor presidente , como muchos otros han expresado hoy aquí creo que ésta es una medida acertada .
this is a useful measure and it is one which we all need .	se trata de una medida útil y una medida que todos necesitamos .
most of the technical issues have been resolved .	la mayoría de las cuestiones técnicas han sido resueltas .
there are some details to be finalised but most of the technical issues have been resolved .	hay algunos detalles que deben ser ultimados pero la mayoría de las cuestiones técnicas han sido resueltas .
we have arrived at the final question .	hemos llegado a la cuestión final .
in the first reading debate it was only the economic and monetary affairs committee which asked this question and it	en el debate de la primera lectura , la comisión de asuntos económicos y monetarios fue la única que planteó
that is quite simply : who pays ?	ésta es muy simple : ¿quién paga ?
the council common position reached a reasonable compromise in that the manufacturers should pay a significant part of the cost	la posición común del consejo alcanzó un compromiso razonable en cuanto que los fabricantes deberían pagar una parte sustancial de
in fact perhaps as little , the lawyers tell us , as 20 % or one-fifth of the cost .	de hecho , una parte tan reducida , como nos dicen los juristas , del 20 % o una quinta
that is not unreasonable .	esto no es descabellado .
if you look at the uk consumer for example , who buys a rover , as mr lange has indicated	si tomamos , por ejemplo , al consumidor británico que compra un rover , como ha indicado el sr. lange
they have paid already .	ya lo ha hecho .
why should the very same people as taxpayers or as future car buyers , pay again to dispose of the	¿por qué la gente que tiene la misma condición de contribuyentes o de futuros compradores de automóviles , debe volver
i can not accept that .	no puedo aceptar esto .
there are amendments here today that are proposing that should be the case .	aquí hay hoy algunas enmiendas que proponen que este debería ser el caso .
i can not accept it and i will not vote for it .	no lo puedo aceptar y no voy a votar a su favor .
the responsibility for these cars lies with the manufacturer .	la responsabilidad sobre estos coches corresponde al fabricante .
it is the manufacturer who has to provide the infrastructure and provide a reasonable part of the cost of disposal	es el fabricante el que tiene que proporcionar la infraestructura y proporcionar una parte sustancial de los costes de eliminación
the common position does not preclude the possibility of contributions being made by government .	la posición común no excluye la posibilidad de que los gobiernos aporten su contribución .
the common position is a reasonable compromise .	la posición común constituye un compromiso razonable .
some of the amendments today are totally unreasonable in that they take away completely the responsibility from the car manufacturer	algunas de las enmiendas de hoy son totalmente descabelladas por cuanto eximen totalmente al fabricante de automóviles de la responsabilidad
i can not accept that and on behalf of the taxpayers and the consumers of europe i am voting against	no puedo aceptar esto y en nombre de los contribuyentes y de los consumidores de europa voto en contra de
mr president , there is agreement that we must give some thought as to how we in europe will properly	señor presidente , distinguidas señoras y señores , estamos todos de acuerdo en que debemos reflexionar sobre cómo acometer adecuadamente
it is disgraceful the way in which the german presidency handled this matter .	la presidencia alemana del consejo actuó en esta cuestión de una manera vergonzosa .
firstly , herr trittin , the environment minister , was not in tune with his colleagues in the cabinet ,	en primer lugar , el sr. trittin , el ministro de medio ambiente , no concertó suficientemente su actuación con
mind you , even the resolution of the finnish council presidency in june was not the best result that could	pero el acuerdo de la presidencia finlandesa del consejo tampoco fue lo mejor que podría haberse alcanzado . hay algunas
there are certain weaknesses , the greatest of which , in my opinion , is that not enough consideration is	el mayor defecto es , desde mi punto de vista , que no se toma suficientemente en cuenta la situación
it is in the area of supply that small business plays an important role and we must not fail to	justamente en el sector de los suministros , la mediana empresa desempeña un papel muy importante , y debemos tener
for there are considerably more than two million people employed in this sector .	son más de 2 millones de personas las que ocupan un puesto de trabajo en este sector .
the plight of small businesses is also addressed by numerous amendments from the committee on the environment , public health	muchas de las enmiendas de la comisión de medio ambiente , salud pública y protección al consumidor , así como
the common position is also no great shakes from an environmental viewpoint .	desde un punto de vista de política medioambiental , la posición común del consejo no es tampoco una maravilla .
it fails to take in the bigger picture and when my fellow delegate from the greens says that this is	falta la agudeza para ver la interrelación de las diversas cuestiones , y no puede decirse , como hace la
consequently , we must support an amendment which at least permits exceptions in the case of particularly economical cars .	por ello ha de apoyarse una enmienda que al menos admita excepciones , si queremos contar con automóviles de bajo
the objections of the industry in this matter are certainly not without foundation .	no les falta fundamento , con toda seguridad , a las objeciones formuladas por la industria en este asunto .
however , the arguments of the plastics and car industries would be more persuasive if a commitment were to be	la fuerza de los argumentos planteados por la industria del material plástico y automovilística sería aún mayor si en este
mr president , we are indeed now in a very rare situation : those who wish to uphold environmental values	señor presidente , ciertamente nos encontramos en una situación muy extraña : aquéllos que quieren defender los valores de respeto
in contrast to what the previous speaker said , i can say i am really proud that a common position	en discrepancia con el orador anterior , señalo que estoy muy orgullosa de que , durante el período de la
if we slide away from the common position and try to divide the recycling costs , we will be creating	si nos apartamos de esta posición común e intentamos redistribuir los costes de reciclaje , estaremos acudiendo a un subterfugio
that is why , in my opinion , the manufacturer must take the greatest share of the responsibility .	así pues , pienso que los fabricantes deben asumir la mayor parte de la responsabilidad .
only then will we find an adequate solution to the problem , taking into consideration the fact too that the	solamente de esta manera podremos resolver satisfactoriamente este problema y , al mismo tiempo , tendremos en cuenta que hay
mr president , there are two issues of principle in the council ' s draft directive .	señor presidente , hay dos asuntos de principio en la propuesta de directiva del consejo .
the first concerns the manufacturer ' s unrestricted liability to take back end-of-life vehicles .	una de ellas se refiere a la ilimitada responsabilidad de los fabricantes para hacerse cargo de los vehículos al término
there is the risk of creating a monopoly within the car dismantling trade . this particularly applies in areas within	se corre el riesgo de que se cree una situación de monopolio en el sector de los desguaces , especialmente
i believe that , quite apart from the nature of the issue concerned , the eu ' s directives should	opino que las directivas de la ue , independientemente de la materia que traten , no deben lesionar los intereses
unrestricted liability on the part of manufacturers would also be in danger of creating a situation in which the market	la absoluta responsabilidad de los productores también hace peligrar al mercado de recambios usados . los productores tienen mayor responsabilidad
yet the trade in used car parts is important , especially for those who collect and renovate older vehicles .	este comercio es importante , especialmente para quienes coleccionan y acondicionan vehículos antiguos .
the principle of unrestricted liability on the part of manufacturers is also dubious in terms of the principles governing the	este principio también es problemático desde la perspectiva de los principios de la economía de mercado .
it should be possible for changes to be made to companies and for the latter to be sold and wound	hay que posibilitar la renovación , venta y desmantelamiento de las empresas .
they should be able to establish themselves in new markets , but also to leave old markets .	estas tienen que poder instalarse en nuevos mercados , pero también deben poder abandonar los viejos .
to bind manufacturers by means of a liability which can extend very far back in time ill accords with a	el hecho de atar a los productores a responsabilidades que se pueden arrastrar por mucho tiempo , casa mal con
the second principle in the council ' s common position is the retroactive element in the draft directive .	el otro principio de la postura común del consejo se refiere a la retroactividad de la directiva .
it conflicts with established economic and legal principles retroactively to impose upon a manufacturer financial liability for its product .	la imposición retroactiva de responsabilidad a los fabricantes por sus productos se opone a principios económicos y jurídicos generalmente aceptados
to do so also changes the owner ' s liability retroactively .	también se modifica retroactivamente la responsabilidad de los propietarios .
over the years , a consumer may have altered the product in a number of ways .	un consumidor puede cambiar las características del producto en el transcurso de los años .
every country within the eu now has rules governing the scrapping of cars .	todos los países en el ámbito de la ue tienen normas que regulan el desguace de los coches .
some may be better than others , and some worse .	estas pueden ser mejores o peores .
in anticipation of this eu directive ' s being implemented , eu countries ought however to be individually liable for	sin embargo , mientras esperamos la entrada en vigor de esta directiva comunitaria , los países de la unión ,
this does not conflict with a financing model involving the building up of funds .	esto no se opone a un modelo de financiación mediante la creación de fondos .
mr president , everyone agrees with the obvious environmental and industrial importance of the instrument in question .	señor presidente , la importancia medioambiental e industrial de la propuesta objeto de examen es evidente y compartida .
the common position offers an acceptable compromise but its rather delicate and precarious nature somewhat restricts the opportunities for improvement	la posición común ofrece un compromiso aceptable pero muy delicado y precario , tanto es así que ofrece márgenes de
i therefore maintain that parliament can not force the issue and it would be paradoxical for it to do so	en consecuencia , considero que el parlamento debe abstenerse de forzar nada y que sería paradójico que lo hiciera en
i would remind you that car manufacturers have admitted that they can live with the directive ; the costs are	recuerdo que los productores de automóviles han admitido que pueden convivir con la directiva ; los costes no son exorbitantes
moreover , the manufacturers will not be financially accountable until 2006 , when a good number of the existing vehicles	además , la responsabilidad financiera de los productores entrará en vigor sólo en el año 2006 , cuando una buena
mr president , this is an extremely bad directive .	señor presidente , esta directiva es extremadamente negativa .
first of all , as my colleague mr bowis has pointed out , it is retrospective and that is wrong	en primer lugar , como ha resaltado mi colega el sr. bowis , es retroactiva y errónea de principio .
secondly , it dumps huge costs on the european motor industry which would damage competitiveness and damage employment .	en segundo lugar , repercute grandes costes sobre la industria europea del motor que dañarían la competitividad y el empleo
in this parliament we constantly talk about the need to promote employment and jobs in europe and yet we constantly	en este parlamento hablamos constantemente de la necesidad de promover el empleo y los puestos de trabajo en europa y
i suggest to you that the directive is bad in another respect , which has not been examined well enough	también quisiera sugerirles que la directiva es mala en otro sentido que no ha sido examinado suficientemente en este debate
it is like so much european legislation .	tiene el cariz de mucha de la legislación europea .
it is far too prescriptive .	es demasiado prescriptiva .
it sets in stone one particular model of recycling .	acuña un modelo determinado de reciclado .
the production line was invented about a hundred years ago , i believe , by henry ford and what we	la línea de producción fue inventada hace más o menos cien años , creo que por henry ford , y
one thing we should stop and think about is the fact that there is a very uncertain market for recycled	una cuestión en la que deberíamos detenernos y reflexionar es sobre el hecho de que hay un mercado muy incierto
the plastics industry for the most part does not want to take these things back and can not economically do	la mayor parte de la industria de plásticos no desea recuperar éstos y no puede permitírselo económicamente .
there is already a very successful industry out there which is shredding cars , recovering metals and recovering energy by	ya existe una industria muy exitosa que está despiezando coches , recuperando metales y recuperando energía con la incineración de
this is a very environmentally reasonable approach .	este es un enfoque medioambientalmente muy razonable .
